id,slug,title,year,cns_rating,mpaa_rating,synopsis,full_review,letter,source_file,is_redirect
22,aboutaboy,About a Boy,2002,A-III,PG-13,"Offbeat comedy-drama about a shallow, feckless thirtysomething Londoner (Hugh Grant) who scams his way into dates with single moms by pretending to have a son, but through his liaisons he meets an odd 12-year-old boy who helps him find true meaning in his life. Based on the book by Nick Hornby, directors Chris and Paul Weitz deftly combine humor and pathos in a film that pulls on the heartstrings without pouring on the syrup. An attempted suicide, a few sexual references, much profanity and fleeting rough language","An odd 12-year-old boy helps a shallow, immature man learn about the important things in life in the offbeat comedy-drama ""About A Boy"" (Universal).

Based on the 1998 best-selling novel by British author Nick Hornby, ""About A Boy"" was directed by an unlikely choice, Paul and Chris Weitz, better known for their 1999 gross-out comedy ""American Pie."" But the Weitz brothers combine humor and pathos in a film that pulls on the heartstrings without pouring on the syrup. ""About A Boy"" never gets too deeply involved in the characters, keeping things mostly light and frothy. But it has enough of a bite to maintain interest in what will happen next with this eclectic, endearing crew. And between fans of Hugh Grant, who plays the lead, and those of author Hornby (whose other best-selling novel, ""High Fidelity,"" was turned into a film starring John Cusack in 2000), the film is likely to attract an audience willing to overlook some of its faults.

The film does have drawbacks, mainly due to its split personality. It can't settle on whether it wants to be a romantic movie or one about a man's journey into self-discovery. But the directors Weitz manage to blend these styles well enough to make the film a diverting time-passer. The jokes aren't the laugh-out-loud type, but they are amusing enough to keep a smile on your face. And when Grant finds his groove as the bumbling romantic lead, his charm shines forth in a nearly irresistible form.

Grant stars as Will, a Peter-Pan type who fears commitment and thoroughly enjoys his child-free, slacker lifestyle. Living off the royalties from his father's corny Christmas song, ""Santa Super Sled,"" Will loafs about free of the responsibilities of a job or career, with only women on his mind. His quest for no-strings-attached relationships leads him to date single moms, whom he views as willing partners too wrapped up in themselves to want more than some carefree dating.

This leads him to join a meeting of SPAT -- Single Parents, Alone Together -- where he's surprised to find that the women are either ugly, men-bashers or a little off-kilter. But he does salvage something by scamming a date with the sole beauty of the group, Suzie (Victoria Smurfit), after inventing a 2-year-old son named Ned to drum up some sympathy and legitimize why he's there in the first place.

Paralleling Will's story is that of grammar-school geek Marcus (Nicholas Hoult), whose mother, Fiona (Toni Collette), still walks him to school, saying ""I love you,"" as they part, much to Marcus' embarrassment and fueling the already mean-spirited bullying he takes at school. An ex-hippie vegetarian who refuses to allow Marcus to go to McDonald's, Fiona doesn't seem to be aware of the tough time her son is going through. The fact that she weeps uncontrollably also points to her emotional imbalance.

Suzie is her supportive best friend, who, on a date with Will, takes Marcus along for the day to give Fiona a break. Here the film's two plots connect, setting the stage for the main story: a rather mature but lonely 12-year-old and an immature but lonely 38-year-old discovering together that everybody needs somebody.

With his Mr. Spock eyebrows and page-boy haircut, Hoult is convincing as a bullied boy yearning for a manly role model or even just a friend to help him forget about his problems at home and at school. Will is appropriately cool to the young boy, unable to figure out just what Marcus may want from a self-absorbed cad such as himself. The warming up to each other, though inevitable, grows naturally. Some of the best scenes are of the two of them just sitting around in Will's fab bachelor pad, watching the British quiz show ""Countdown"" without really saying as much as a word to each other.

""About A Boy"" is really about two boys, one thrust into the adult world of handling an unstable mother and the pressures of pre-teendom, and the other trying to stave off the responsibilities of adulthood despite already being an adult. The film doesn't tap the emotional depths it could have, considering the source material, but it is nonetheless entertaining fare for the adult moviegoer.

Due to an attempted suicide, a few sexual references, much profanity and fleeting rough language, the U.S. Conference of Catholic Bishops classification is A-III -- adults. The Motion Picture Association of America rating is PG-13 -- parents are strongly cautioned. Some material may be inappropriate for children under 13.",a,a/aboutaboy.shtml,0
23,aboutadam,About Adam,2001,O,R,"Off-putting romantic comedy set in Dublin in which a charming young man (Stuart Townsend) seduces a sweet nightclub chanteuse (Kate Hudson), and then unbeknownst to her, proceeds to also bewitch her two sisters (Frances O'Connor and Charlotte Bradley). Told in flashbacks from varying points of view, director Gerard Stembridge's selfish characters and meandering narrative show little respect for marriage or family ties while conveying that sex is a cure-all. Several sexual encounters with fleeting nudity and recurring rough language and profanity. The U.S. Catholic Conference",,a,a/aboutadam.shtml,0
24,aboutface,About Face,1952,A-II,,"Flat musical version of the military school comedy, ""Brother Rat"" (1938), is unimaginatively directed by Roy Del Ruth with Gordon MacRae as the leader of the pack and Eddie Bracken as the secretly married cadet who is about to become a father. Silly romantic situations",,a,a/aboutface.shtml,0
25,aboutlastnight,About Last Night,1986,O,R,"Romance set against the vulgar background of the singles scene where the immaturity and insecurities of two young professionals (Demi Moore and Rob Lowe) doom to failure their struggle to form a lasting bond. Played for comedy by director Edward Zwick, the movie is socially, emotionally and morally uninformed about the nature of a truly loving relationship. Rough language and nudity in a sexual context",,a,a/aboutlastnight.shtml,0
26,aboutmrsleslie,About Mrs. Leslie,1954,A-III,,"Sentimental tearjerker about a good-hearted nightclub singer (Shirley Booth) who takes an annual decompression holiday with an overly intense business man (Robert Ryan), then cuts him dead when she discovers he's married. Directed by Daniel Mann, the bittersweet romance is told in maudlin flashbacks, though Booth's sunny performance is likeable, if not credible. Muddled romantic complications",,a,a/aboutmrsleslie.shtml,0
27,aboutschmidt,About Schmidt,2002,A-III,R,"Poignant tale of a newly retired and newly widowed 66-year-old (Jack Nicholson) who tries to reconnect with his daughter (Hope Davis) while hoping to abort her upcoming wedding. Nicholson shines in director Alexander Payne's bittersweet comedy about a man coming to terms with his unexceptional life and finding peace in tolerance, forgiveness and generosity of spirit. Implied affairs, fleeting nudity, occasional rough language and recurring profanity","Newly retired and suddenly widowed, an Omaha, Neb., actuary heads out in his Winnebago for what becomes a journey of self-discovery in the wonderfully moving ""About Schmidt"" (New Line).

After a lifetime of working at an insurance company, Warren Schmidt (Jack Nicholson, likely to earn another Oscar nomination) finds himself at loose ends. His wife (June Squibb) is looking forward to traveling the country in their new RV, but in Warren's letters to the little Tanzanian boy he sponsors for $22 a month, the retired husband describes how annoying his wife can be now that he's home all the time.

But when he finds her dead on the kitchen floor from a blood clot, Warren is distraught and anchorless. After making a wrenching discovery about his wife, he decides to hit the road, destination Denver. There he hopes to persuade his semi-estranged daughter, Jeannie (Hope Davis), that her imminent wedding to waterbed salesman Randall (Dermot Mulroney) is a big mistake.

Along the way he makes nostalgic stops that lead him to reflect on his life and become eager to mend fences with his only child.

In Denver, not only is Warren turned off by underachiever Randall, he's appalled by the groom's divorced mom (Kathy Bates), who brags about her sexual capacity and looks ready to pounce on Warren, going as far as joining him in a hot tub, uninvited and au naturel! This is the last family Warren would want for his daughter, but as her wedding day dawns Warren sees little hope of dissuading her and keeping her affection.

Directed by Alexander Payne from his script with co-writer Jim Taylor, the film locates genuine human emotion and the cast delivers the goods in sharply drawn portrayals. But it is overwhelmingly Nicholson's artistry that drives the film from a simple story of an Everyman at a crossroads to an affecting portrait of grief and self-discovery.

Adding real comedy to the bittersweet story is the device whereby Warren in voiceover reads his candid letters to little 6-year-old Ndugu, which, while often hilarious, allows Warren to evaluate his 66-year-old life and where it is going.

In the film's most touching scene, Warren, having worked through his rage over his wife's transgressions, forgives her and regrets his own shortcomings as a husband. As he eyes the nighttime sky thinking of her, he is rewarded by a shooting star that moves him to make a grateful sign of the cross.

Warren also learns about the serenity in St. Francis' prayer and has occasion to forgive another traitorous friend (Len Cariou) in his life. These scenes of anger, resignation and acceptance ring true and all of the characters are treated with generosity and dignity despite their failings.

The movie's doleful tone is shot through with comical situations that are credible and never mean-spirited. And, just when the narrative is about to end on a melancholy, almost despairing note, something unexpected buoys Warren's spirits and gives him the impetus to continue life's journey toward the eternal.

""About Schmidt"" is entertaining, but it is also profound in its gentle dissection of the human condition, which is what makes it so memorable.

Due to implied affairs, fleeting nudity, occasional rough language and recurring profanity, the U.S. Conference of Catholic Bishops classification is A-III -- adults. The Motion Picture Association of America rating is R -- restricted.",a,a/aboutschmidt.shtml,0
28,abovethelaw,Above the Law,1988,O,R,"Silly convoluted detective yarn featuring a Chicago cop (Steven Seagal) whose martial arts expertise and former involvement with the CIA make him a target for every macho crook and dirty dealing CIA agent in town. Directed by Andrew Davis, it's a disappointing, politically confused story focusing mainly on the martial arts for which Seagal is noted. Excessive violence, much grisly gore and a liberal dose of profanity",,a,a/abovethelaw.shtml,0
29,absenceofmalice,Absence of Malice,1981,A-II,PG,"Ambitious Miami reporter (Sally Field) is duped into reporting false information on the son of an organized crime figure (Paul Newman). Though director Sydney Pollack slickly stacks the deck against the news media, the movie does succeed in raising serious issues about media responsibility and public opinion. Incidental details include suicide, abortion and an illicit sexual relationship",,a,a/absenceofmalice.shtml,0
30,absolute-power,Absolute Power,,,,,,a,a/absolute_power.shtml,0
31,absolutebeginners,Absolute Beginners,1986,A-III,PG-13,"Youth-oriented musical drama starring David Bowie as an ad man selling materialism to adolescents, represented by a teenage song-and-dance team (Eddie O'Connell and Patsy Kensit). British production directed by Julien Temple links the euphoria of young people in the late l960s with the birth of a youth sub-culture and consumer market. Mainly, however, it celebrates lack of conscience and good judgment as the substance of adolescence. An intense scene of violence and a confused perspective on adoloscent sexuality",,a,a/absolutebeginners.shtml,0
